지점,지점명,일시,평균기온(°C)
108,서울,2016-02-01,-6
108,서울,2016-02-02,-5.3
108,서울,2016-02-03,-2.4
108,서울,2016-02-04,-.7
108,서울,2016-02-05,-2.2
108,서울,2016-02-06,-3.1
108,서울,2016-02-07,-2.9
108,서울,2016-02-08,1.3
108,서울,2016-02-09,.3
108,서울,2016-02-10,2.7
108,서울,2016-02-11,8.1
108,서울,2016-02-12,8.4
108,서울,2016-02-13,11
108,서울,2016-02-14,-2.6
108,서울,2016-02-15,-5.8
108,서울,2016-02-16,-2.7
108,서울,2016-02-17,0
108,서울,2016-02-18,3.5
108,서울,2016-02-19,2.3
108,서울,2016-02-20,1.3
108,서울,2016-02-21,-.6
108,서울,2016-02-22,1.1
108,서울,2016-02-23,.7
108,서울,2016-02-24,-3
108,서울,2016-02-25,-.2
108,서울,2016-02-26,2.2
108,서울,2016-02-27,3.3
108,서울,2016-02-28,.7
108,서울,2016-02-29,-3.8
108,서울,2016-03-01,-2.7
108,서울,2016-03-02,3.1
108,서울,2016-03-03,8.1
108,서울,2016-03-04,13.2
108,서울,2016-03-05,11.3
108,서울,2016-03-06,7.9
108,서울,2016-03-07,8.1
108,서울,2016-03-08,2.7
108,서울,2016-03-09,.3
108,서울,2016-03-10,-1.1
108,서울,2016-03-11,-.5
108,서울,2016-03-12,2
108,서울,2016-03-13,3.7
108,서울,2016-03-14,4.7
108,서울,2016-03-15,5.2
108,서울,2016-03-16,7.5
108,서울,2016-03-17,9.3
108,서울,2016-03-18,13.4
108,서울,2016-03-19,11.4
108,서울,2016-03-20,10.6
108,서울,2016-03-21,9.9
108,서울,2016-03-22,8
108,서울,2016-03-23,8.2
108,서울,2016-03-24,7.2
108,서울,2016-03-25,7.1
108,서울,2016-03-26,6.5
108,서울,2016-03-27,7.2
108,서울,2016-03-28,9.8
108,서울,2016-03-29,11.3
108,서울,2016-03-30,11.5
108,서울,2016-03-31,13.5
108,서울,2016-04-01,15.3
108,서울,2016-04-02,15
108,서울,2016-04-03,10.7
108,서울,2016-04-04,12.3
108,서울,2016-04-05,11.4
108,서울,2016-04-06,14.4
108,서울,2016-04-07,14.1
108,서울,2016-04-08,11.1
108,서울,2016-04-09,10.7
108,서울,2016-04-10,13.4
108,서울,2016-04-11,12.5
108,서울,2016-04-12,14.1
108,서울,2016-04-13,15.6
108,서울,2016-04-14,12.4
108,서울,2016-04-15,15
108,서울,2016-04-16,14.9
108,서울,2016-04-17,10.8
108,서울,2016-04-18,11.2
108,서울,2016-04-19,12
108,서울,2016-04-20,14.3
108,서울,2016-04-21,13.5
108,서울,2016-04-22,13.5
108,서울,2016-04-23,13.5
108,서울,2016-04-24,15.5
108,서울,2016-04-25,17.2
108,서울,2016-04-26,21.1
108,서울,2016-04-27,17.2
108,서울,2016-04-28,17.2
108,서울,2016-04-29,16.2
108,서울,2016-04-30,15.9
108,서울,2016-05-01,18.8
108,서울,2016-05-02,21.1
108,서울,2016-05-03,12.9
108,서울,2016-05-04,15.7
108,서울,2016-05-05,18.9
108,서울,2016-05-06,16.3
108,서울,2016-05-07,16.5
108,서울,2016-05-08,19.4
108,서울,2016-05-09,20.2
108,서울,2016-05-10,14.5
108,서울,2016-05-11,16.4
108,서울,2016-05-12,17.8
108,서울,2016-05-13,18.6
108,서울,2016-05-14,20.2
108,서울,2016-05-15,17.4
108,서울,2016-05-16,15.9
108,서울,2016-05-17,19.3
108,서울,2016-05-18,22.3
108,서울,2016-05-19,24.3
108,서울,2016-05-20,24
108,서울,2016-05-21,24.1
108,서울,2016-05-22,24.7
108,서울,2016-05-23,23.3
108,서울,2016-05-24,16.8
108,서울,2016-05-25,19.7
108,서울,2016-05-26,19.4
108,서울,2016-05-27,20.9
108,서울,2016-05-28,21.7
108,서울,2016-05-29,21.5
108,서울,2016-05-30,22.1
108,서울,2016-05-31,21.6
108,서울,2016-06-01,23.3
108,서울,2016-06-02,23.2
108,서울,2016-06-03,22.2
108,서울,2016-06-04,21.2
108,서울,2016-06-05,24.7
108,서울,2016-06-06,23.3
108,서울,2016-06-07,21.7
108,서울,2016-06-08,22.1
108,서울,2016-06-09,24.1
108,서울,2016-06-10,24.6
108,서울,2016-06-11,23.5
108,서울,2016-06-12,23.5
108,서울,2016-06-13,23.5
108,서울,2016-06-14,23.8
108,서울,2016-06-15,20.9
108,서울,2016-06-16,20.9
108,서울,2016-06-17,23.8
108,서울,2016-06-18,24.5
108,서울,2016-06-19,24.1
108,서울,2016-06-20,24.7
108,서울,2016-06-21,26
108,서울,2016-06-22,24.3
108,서울,2016-06-23,24.7
108,서울,2016-06-24,23.1
108,서울,2016-06-25,22.8
108,서울,2016-06-26,24.4
108,서울,2016-06-27,24.4
108,서울,2016-06-28,24.7
108,서울,2016-06-29,25.3
108,서울,2016-06-30,24.6
108,서울,2016-07-01,24
108,서울,2016-07-02,23.5
108,서울,2016-07-03,23.5
108,서울,2016-07-04,21.8
108,서울,2016-07-05,23.1
108,서울,2016-07-06,22.9
108,서울,2016-07-07,24
108,서울,2016-07-08,27.3
108,서울,2016-07-09,27.7
108,서울,2016-07-10,27.9
108,서울,2016-07-11,28.4
108,서울,2016-07-12,26.3
108,서울,2016-07-13,26.3
108,서울,2016-07-14,27.5
108,서울,2016-07-15,26.2
108,서울,2016-07-16,20.8
108,서울,2016-07-17,21.7
108,서울,2016-07-18,24.4
108,서울,2016-07-19,27.1
108,서울,2016-07-20,28.6
108,서울,2016-07-21,28.3
108,서울,2016-07-22,29.1
108,서울,2016-07-23,28.7
108,서울,2016-07-24,28
108,서울,2016-07-25,28.4
108,서울,2016-07-26,28.4
108,서울,2016-07-27,27.6
108,서울,2016-07-28,28
108,서울,2016-07-29,26.3
108,서울,2016-07-30,28.6
108,서울,2016-07-31,28.9
108,서울,2016-08-01,28.4
108,서울,2016-08-02,27.2
108,서울,2016-08-03,29.1
108,서울,2016-08-04,30.7
108,서울,2016-08-05,31.2
108,서울,2016-08-06,30.5
108,서울,2016-08-07,30.6
108,서울,2016-08-08,30.5
108,서울,2016-08-09,29.3
108,서울,2016-08-10,29.4
108,서울,2016-08-11,30.5
108,서울,2016-08-12,30.4
108,서울,2016-08-13,30.2
108,서울,2016-08-14,28.9
108,서울,2016-08-15,29.1
108,서울,2016-08-16,29.3
108,서울,2016-08-17,29.9
108,서울,2016-08-18,29.9
108,서울,2016-08-19,28.9
108,서울,2016-08-20,30.1
108,서울,2016-08-21,30.7
108,서울,2016-08-22,30.7
108,서울,2016-08-23,28.3
108,서울,2016-08-24,29.1
108,서울,2016-08-25,27.1
108,서울,2016-08-26,23
108,서울,2016-08-27,23.4
108,서울,2016-08-28,21
108,서울,2016-08-29,22.2
108,서울,2016-08-30,20.6
108,서울,2016-08-31,17.7
108,서울,2016-09-01,23.2
108,서울,2016-09-02,24.2
108,서울,2016-09-03,23.9
108,서울,2016-09-04,25.6
108,서울,2016-09-05,26.4
108,서울,2016-09-06,24.7
108,서울,2016-09-07,24.3
108,서울,2016-09-08,23
108,서울,2016-09-09,23.9
108,서울,2016-09-10,24.4
108,서울,2016-09-11,24.5
108,서울,2016-09-12,23.4
108,서울,2016-09-13,24.6
108,서울,2016-09-14,24.6
108,서울,2016-09-15,23.9
108,서울,2016-09-16,24.6
108,서울,2016-09-17,23.1
108,서울,2016-09-18,23.5
108,서울,2016-09-19,21.9
108,서울,2016-09-20,20.6
108,서울,2016-09-21,20.2
108,서울,2016-09-22,21.9
108,서울,2016-09-23,21.4
108,서울,2016-09-24,22.3
108,서울,2016-09-25,23
108,서울,2016-09-26,23.6
108,서울,2016-09-27,21
108,서울,2016-09-28,19.9
108,서울,2016-09-29,20.4
108,서울,2016-09-30,20.5
108,서울,2016-10-01,21.1
108,서울,2016-10-02,19
108,서울,2016-10-03,22.7
108,서울,2016-10-04,22
108,서울,2016-10-05,21.1
108,서울,2016-10-06,18
108,서울,2016-10-07,19.7
108,서울,2016-10-08,16.8
108,서울,2016-10-09,11.3
108,서울,2016-10-10,14
108,서울,2016-10-11,15.4
108,서울,2016-10-12,15.5
108,서울,2016-10-13,15.2
108,서울,2016-10-14,16.7
108,서울,2016-10-15,19.1
108,서울,2016-10-16,17.2
108,서울,2016-10-17,17.5
108,서울,2016-10-18,17
108,서울,2016-10-19,18
108,서울,2016-10-20,18.6
108,서울,2016-10-21,17.9
108,서울,2016-10-22,18.3
108,서울,2016-10-23,13.3
108,서울,2016-10-24,15.1
108,서울,2016-10-25,14.1
108,서울,2016-10-26,13.3
108,서울,2016-10-27,14.6
108,서울,2016-10-28,14.6
108,서울,2016-10-29,7.8
108,서울,2016-10-30,7.9
108,서울,2016-10-31,5.7
108,서울,2016-11-01,1.5
108,서울,2016-11-02,4.1
108,서울,2016-11-03,9.1
108,서울,2016-11-04,12.3
108,서울,2016-11-05,15
108,서울,2016-11-06,14
108,서울,2016-11-07,12.8
108,서울,2016-11-08,4.1
108,서울,2016-11-09,2.1
108,서울,2016-11-10,6
108,서울,2016-11-11,9.1
108,서울,2016-11-12,11.4
108,서울,2016-11-13,14.4
108,서울,2016-11-14,13.2
108,서울,2016-11-15,5.2
108,서울,2016-11-16,5.2
108,서울,2016-11-17,9.1
108,서울,2016-11-18,10.3
108,서울,2016-11-19,13
108,서울,2016-11-20,9.8
108,서울,2016-11-21,9.5
108,서울,2016-11-22,2
108,서울,2016-11-23,-1.8
108,서울,2016-11-24,-2.5
108,서울,2016-11-25,1
108,서울,2016-11-26,.9
108,서울,2016-11-27,3.3
108,서울,2016-11-28,1.4
108,서울,2016-11-29,1.7
108,서울,2016-11-30,6
108,서울,2016-12-01,4.1
108,서울,2016-12-02,1.6
108,서울,2016-12-03,4.5
108,서울,2016-12-04,5.5
108,서울,2016-12-05,5.9
108,서울,2016-12-06,-1.1
108,서울,2016-12-07,1.7
108,서울,2016-12-08,2.1
108,서울,2016-12-09,1.4
108,서울,2016-12-10,-1.6
108,서울,2016-12-11,-1.1
108,서울,2016-12-12,2.3
108,서울,2016-12-13,3.4
108,서울,2016-12-14,-1.4
108,서울,2016-12-15,-5
108,서울,2016-12-16,-4.7
108,서울,2016-12-17,2.7
108,서울,2016-12-18,4.9
108,서울,2016-12-19,7.2
108,서울,2016-12-20,7.6
108,서울,2016-12-21,7.9
108,서울,2016-12-22,5.5
108,서울,2016-12-23,-2.5
108,서울,2016-12-24,-2.4
108,서울,2016-12-25,1
108,서울,2016-12-26,2.5
108,서울,2016-12-27,-2.3
108,서울,2016-12-28,-3.7
108,서울,2016-12-29,-4.2
108,서울,2016-12-30,-3.9
108,서울,2016-12-31,.7
108,서울,2017-01-01,2.7
108,서울,2017-01-02,5
108,서울,2017-01-03,2
108,서울,2017-01-04,3.9
108,서울,2017-01-05,3.8
108,서울,2017-01-06,5.4
108,서울,2017-01-07,4.6
108,서울,2017-01-08,6.5
108,서울,2017-01-09,1.5
108,서울,2017-01-10,-3.7
108,서울,2017-01-11,-3.8
108,서울,2017-01-12,-2.2
108,서울,2017-01-13,-6
108,서울,2017-01-14,-8.4
108,서울,2017-01-15,-6.6
108,서울,2017-01-16,-3.8
108,서울,2017-01-17,-2
108,서울,2017-01-18,-.5
108,서울,2017-01-19,-1.2
108,서울,2017-01-20,-4.4
108,서울,2017-01-21,-5.2
108,서울,2017-01-22,-8.3
108,서울,2017-01-23,-8.9
108,서울,2017-01-24,-7
108,서울,2017-01-25,-5.2
108,서울,2017-01-26,-1.3
108,서울,2017-01-27,-2.6
108,서울,2017-01-28,-1.6
108,서울,2017-01-29,.8
108,서울,2017-01-30,-4.8
108,서울,2017-01-31,-5.4
108,서울,2017-02-01,-4
108,서울,2017-02-02,-2.7
108,서울,2017-02-03,1.5
108,서울,2017-02-04,.9
108,서울,2017-02-05,1.2
108,서울,2017-02-06,-1.7
108,서울,2017-02-07,-2
108,서울,2017-02-08,-2.2
108,서울,2017-02-09,-5.3
108,서울,2017-02-10,-6.6
108,서울,2017-02-11,-4.8
108,서울,2017-02-12,-2.2
108,서울,2017-02-13,.1
108,서울,2017-02-14,.3
108,서울,2017-02-15,1.8
108,서울,2017-02-16,5.5
108,서울,2017-02-17,.8
108,서울,2017-02-18,-2.6
108,서울,2017-02-19,2.3
108,서울,2017-02-20,-1.5
108,서울,2017-02-21,-.6
108,서울,2017-02-22,1.7
108,서울,2017-02-23,-1.5
108,서울,2017-02-24,-.8
108,서울,2017-02-25,2.6
108,서울,2017-02-26,3.6
108,서울,2017-02-27,3.7
108,서울,2017-02-28,5.6
108,서울,2017-03-01,5
108,서울,2017-03-02,1.8
108,서울,2017-03-03,3.3
108,서울,2017-03-04,5.7
108,서울,2017-03-05,5.2
108,서울,2017-03-06,.1
108,서울,2017-03-07,-1.3
108,서울,2017-03-08,-.1
108,서울,2017-03-09,3.2
108,서울,2017-03-10,4.8
108,서울,2017-03-11,7.3
108,서울,2017-03-12,8.2
108,서울,2017-03-13,6.9
108,서울,2017-03-14,5.8
108,서울,2017-03-15,6.3
108,서울,2017-03-16,6.2
108,서울,2017-03-17,7.7
108,서울,2017-03-18,9.5
108,서울,2017-03-19,10.9
108,서울,2017-03-20,10.2
108,서울,2017-03-21,7.4
108,서울,2017-03-22,7.6
108,서울,2017-03-23,9.1
108,서울,2017-03-24,8.7
108,서울,2017-03-25,8.1
108,서울,2017-03-26,7.3
108,서울,2017-03-27,6.1
108,서울,2017-03-28,7.1
108,서울,2017-03-29,8.8
108,서울,2017-03-30,10.6
108,서울,2017-03-31,8.6
108,서울,2017-04-01,9
108,서울,2017-04-02,9
108,서울,2017-04-03,11.4
108,서울,2017-04-04,14.1
108,서울,2017-04-05,12
108,서울,2017-04-06,10.4
108,서울,2017-04-07,14.5
108,서울,2017-04-08,13
108,서울,2017-04-09,14.8
108,서울,2017-04-10,16.5
108,서울,2017-04-11,15.3
108,서울,2017-04-12,11.5
108,서울,2017-04-13,12.7
108,서울,2017-04-14,13
108,서울,2017-04-15,16.8
108,서울,2017-04-16,18.7
108,서울,2017-04-17,14.7
108,서울,2017-04-18,11.7
108,서울,2017-04-19,12.6
108,서울,2017-04-20,12.9
108,서울,2017-04-21,13.1
108,서울,2017-04-22,14.8
108,서울,2017-04-23,14.9
108,서울,2017-04-24,15.1
108,서울,2017-04-25,16
108,서울,2017-04-26,15.1
108,서울,2017-04-27,13.6
108,서울,2017-04-28,14.4
108,서울,2017-04-29,17.1
108,서울,2017-04-30,19.3
108,서울,2017-05-01,20.1
108,서울,2017-05-02,20.7
108,서울,2017-05-03,21.5
108,서울,2017-05-04,21
108,서울,2017-05-05,20.9
108,서울,2017-05-06,14.9
108,서울,2017-05-07,16.6
108,서울,2017-05-08,17.9
108,서울,2017-05-09,17.1
108,서울,2017-05-10,16.4
108,서울,2017-05-11,19.3
108,서울,2017-05-12,19.1
108,서울,2017-05-13,16.4
108,서울,2017-05-14,15.7
108,서울,2017-05-15,16
108,서울,2017-05-16,17.1
108,서울,2017-05-17,18.6
108,서울,2017-05-18,20.4
108,서울,2017-05-19,21.1
108,서울,2017-05-20,20.9
108,서울,2017-05-21,21.5
108,서울,2017-05-22,21.8
108,서울,2017-05-23,20
108,서울,2017-05-24,21.8
108,서울,2017-05-25,19.2
108,서울,2017-05-26,17.7
108,서울,2017-05-27,19.5
108,서울,2017-05-28,21.2
108,서울,2017-05-29,22.9
108,서울,2017-05-30,23.6
108,서울,2017-05-31,23.3
108,서울,2017-06-01,23.3
108,서울,2017-06-02,20.5
108,서울,2017-06-03,20.5
108,서울,2017-06-04,21.7
108,서울,2017-06-05,24.2
108,서울,2017-06-06,19.4
108,서울,2017-06-07,17.6
108,서울,2017-06-08,20.1
108,서울,2017-06-09,21.2
108,서울,2017-06-10,21.5
108,서울,2017-06-11,22.8
108,서울,2017-06-12,22.1
108,서울,2017-06-13,21.5
108,서울,2017-06-14,21.8
108,서울,2017-06-15,23.1
108,서울,2017-06-16,25.5
108,서울,2017-06-17,24.2
108,서울,2017-06-18,24.3
108,서울,2017-06-19,24.8
108,서울,2017-06-20,26
108,서울,2017-06-21,25.4
108,서울,2017-06-22,25.3
108,서울,2017-06-23,26.7
108,서울,2017-06-24,24.5
108,서울,2017-06-25,23.8
108,서울,2017-06-26,23.1
108,서울,2017-06-27,25.2
108,서울,2017-06-28,26
108,서울,2017-06-29,26.2
108,서울,2017-06-30,25.9
108,서울,2017-07-01,25.3
108,서울,2017-07-02,24.3
108,서울,2017-07-03,24.7
108,서울,2017-07-04,26.7
108,서울,2017-07-05,27.4
108,서울,2017-07-06,27.6
108,서울,2017-07-07,26.4
108,서울,2017-07-08,26
108,서울,2017-07-09,26.3
108,서울,2017-07-10,24
108,서울,2017-07-11,26
108,서울,2017-07-12,27.1
108,서울,2017-07-13,27.6
108,서울,2017-07-14,28.7
108,서울,2017-07-15,25
108,서울,2017-07-16,26.2
108,서울,2017-07-17,26.8
108,서울,2017-07-18,26.5
108,서울,2017-07-19,28.3
108,서울,2017-07-20,29.9
108,서울,2017-07-21,29.8
108,서울,2017-07-22,29.3
108,서울,2017-07-23,27
108,서울,2017-07-24,26.2
108,서울,2017-07-25,29.4
108,서울,2017-07-26,28.7
108,서울,2017-07-27,27.1
108,서울,2017-07-28,25.5
108,서울,2017-07-29,27.2
108,서울,2017-07-30,27.9
108,서울,2017-07-31,25.7
108,서울,2017-08-01,28.6
108,서울,2017-08-02,30
108,서울,2017-08-03,30.2
108,서울,2017-08-04,30.3
108,서울,2017-08-05,31.4
108,서울,2017-08-06,29.8
108,서울,2017-08-07,29.2
108,서울,2017-08-08,28.2
108,서울,2017-08-09,27.6
108,서울,2017-08-10,24.8
108,서울,2017-08-11,27
108,서울,2017-08-12,27.8
108,서울,2017-08-13,26.3
108,서울,2017-08-14,24.6
108,서울,2017-08-15,21.9
108,서울,2017-08-16,23.3
108,서울,2017-08-17,24.8
108,서울,2017-08-18,26.3
108,서울,2017-08-19,26.1
108,서울,2017-08-20,23.2
108,서울,2017-08-21,25.8
108,서울,2017-08-22,27.3
108,서울,2017-08-23,27.2
108,서울,2017-08-24,26.5
108,서울,2017-08-25,25.3
108,서울,2017-08-26,24.2
108,서울,2017-08-27,22.7
108,서울,2017-08-28,21.5
108,서울,2017-08-29,19.5
108,서울,2017-08-30,19.8
108,서울,2017-08-31,22.2
108,서울,2017-09-01,23.3
108,서울,2017-09-02,23.8
108,서울,2017-09-03,23.7
108,서울,2017-09-04,24.6
108,서울,2017-09-05,21.9
108,서울,2017-09-06,20.6
108,서울,2017-09-07,22.4
108,서울,2017-09-08,24.3
108,서울,2017-09-09,23.8
108,서울,2017-09-10,23
108,서울,2017-09-11,21.2
108,서울,2017-09-12,22.1
108,서울,2017-09-13,21.4
108,서울,2017-09-14,22.4
108,서울,2017-09-15,22.6
108,서울,2017-09-16,22
108,서울,2017-09-17,23.1
108,서울,2017-09-18,21.9
108,서울,2017-09-19,22.6
108,서울,2017-09-20,19.5
108,서울,2017-09-21,20.3
108,서울,2017-09-22,20.6
108,서울,2017-09-23,21.8
108,서울,2017-09-24,22.4
108,서울,2017-09-25,23.4
108,서울,2017-09-26,25.1
108,서울,2017-09-27,22.7
108,서울,2017-09-28,19.2
108,서울,2017-09-29,17.4
108,서울,2017-09-30,20
108,서울,2017-10-01,18.2
108,서울,2017-10-02,22
108,서울,2017-10-03,17.6
108,서울,2017-10-04,16.7
108,서울,2017-10-05,18.7
108,서울,2017-10-06,18.9
108,서울,2017-10-07,21.9
108,서울,2017-10-08,23
108,서울,2017-10-09,22.5
108,서울,2017-10-10,21.4
108,서울,2017-10-11,15.5
108,서울,2017-10-12,11.4
108,서울,2017-10-13,12.8
108,서울,2017-10-14,14.4
108,서울,2017-10-15,15.8
108,서울,2017-10-16,16.6
108,서울,2017-10-17,16.2
108,서울,2017-10-18,16.5
108,서울,2017-10-19,17
108,서울,2017-10-20,17
108,서울,2017-10-21,17.6
108,서울,2017-10-22,16.3
108,서울,2017-10-23,13.7
108,서울,2017-10-24,14.4
108,서울,2017-10-25,14.4
108,서울,2017-10-26,14.5
108,서울,2017-10-27,16.9
108,서울,2017-10-28,17.2
108,서울,2017-10-29,11.5
108,서울,2017-10-30,7.7
108,서울,2017-10-31,10.4
108,서울,2017-11-01,14.4
108,서울,2017-11-02,15.5
108,서울,2017-11-03,12.3
108,서울,2017-11-04,7.8
108,서울,2017-11-05,8.4
108,서울,2017-11-06,11.4
108,서울,2017-11-07,14.4
108,서울,2017-11-08,13.1
108,서울,2017-11-09,9.4
108,서울,2017-11-10,9.8
108,서울,2017-11-11,5.9
108,서울,2017-11-12,5.3
108,서울,2017-11-13,8.4
108,서울,2017-11-14,7.5
108,서울,2017-11-15,3.2
108,서울,2017-11-16,1
108,서울,2017-11-17,3
108,서울,2017-11-18,-2.1
108,서울,2017-11-19,-1.6
108,서울,2017-11-20,-.4
